CREATION_DATE,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,LAUNCH_DATE,DECAY_DATE
2023-05-08T14:36:13,STARLINK-1035,2019-074AD,EARTH,TEME,UTC,SGP4,2023-05-08T10:20:18.451104,15.06394939,9.22e-05,53.0521,178.5636,99.2572,260.8522,0,19245,0.0012122,0.00017818,0.0,6925.364,95.592,547.868,546.591,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1036,2019-074AE,EARTH,TEME,UTC,SGP4,2023-05-08T10:36:13.975488,15.06388077,0.0001291,53.0525,178.5128,95.7905,264.3231,0,19245,0.00013892,1.788e-05,0.0,6925.385,95.593,548.144,546.356,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1037,2019-074AF,EARTH,TEME,UTC,SGP4,2023-05-08T04:49:31.805184,15.90076472,0.0005574,52.946,105.6423,82.474,277.6917,0,19338,0.0055263,0.0167035,0.0013937,6680.206,90.562,305.794,298.347,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1038,2019-074AG,EARTH,TEME,UTC,SGP4,2023-05-08T10:12:21.406464,15.06387278,0.0001293,53.0517,198.5856,84.2494,275.8642,0,19217,0.0014411,0.00021241,0.0,6925.388,95.593,548.148,546.357,PAYLOAD,2019-11-11,
2023-05-08T14:46:13,STARLINK-1039,2019-074AH,EARTH,TEME,UTC,SGP4,2023-05-08T12:03:48.871872,15.06376702,0.0001338,53.0521,198.2401,86.7495,273.3647,0,19218,0.0013991,0.00020606,0.0,6925.42,95.594,548.212,546.358,PAYLOAD,2019-11-11,
2020-09-02T19:16:09,STARLINK-1040,2019-074AJ,EARTH,TEME,UTC,SGP4,2020-09-02T18:35:47.421888,16.52708336,0.0006885,52.9611,104.7789,265.0997,95.3587,0,4707,0.00015628,0.21998659,1.2712e-05,6510.35,87.129,136.697,127.733,PAYLOAD,2019-11-11,2020-09-03
2023-05-08T14:36:13,STARLINK-1041,2019-074AK,EARTH,TEME,UTC,SGP4,2023-05-08T11:42:36.418464,15.06371904,0.0001459,53.0524,198.3082,107.5817,252.5331,0,19218,0.0010591,0.00015517,0.0,6925.435,95.594,548.31,546.289,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1042,2019-074AL,EARTH,TEME,UTC,SGP4,2023-05-08T10:49:29.938944,15.06374477,0.0001332,53.0519,198.4736,82.3082,277.8058,0,19218,0.0013341,0.00019632,0.0,6925.427,95.594,548.214,546.369,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1043,2019-074AM,EARTH,TEME,UTC,SGP4,2023-05-08T11:31:57.318528,15.06379004,0.000113,53.0522,198.3388,88.6509,271.461,0,19218,0.0014016,0.00020645,0.0,6925.413,95.593,548.06,546.495,PAYLOAD,2019-11-11,
2021-10-15T15:36:10,STARLINK-1044,2019-074AN,EARTH,TEME,UTC,SGP4,2021-10-15T15:06:29.824704,16.33228302,0.0002955,53.0277,151.8075,239.7235,122.5536,0,10747,0.001906,0.12258443,1.2151e-05,6562.015,88.169,185.819,181.941,PAYLOAD,2019-11-11,2021-10-15
2021-04-23T06:26:11,STARLINK-1045,2019-074AP,EARTH,TEME,UTC,SGP4,2021-04-23T05:08:44.547936,16.38218237,0.0004785,52.9635,168.4884,272.2723,87.9233,0,8171,0.0025431,0.2828106,1.2321e-05,6548.684,87.9,173.682,167.415,PAYLOAD,2019-11-11,2021-04-23
2023-05-08T14:36:13,STARLINK-1046,2019-074AQ,EARTH,TEME,UTC,SGP4,2023-05-08T10:17:39.351552,15.06379481,0.0001275,53.0516,198.5699,89.2078,270.9057,0,19217,0.0011856,0.00017412,0.0,6925.411,95.593,548.159,546.393,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1047,2019-074AR,EARTH,TEME,UTC,SGP4,2023-05-08T10:46:49.530432,15.06376695,0.0001612,53.0524,178.4825,83.3806,276.7366,0,19245,-0.0001362,-2.308e-05,0.0,6925.42,95.594,548.401,546.169,PAYLOAD,2019-11-11,
2023-05-08T14:36:13,STARLINK-1048,2019-074AS,EARTH,TEME,UTC,SGP4,2023-05-08T09:19:16.267872,15.06392366,0.0001398,53.0524,158.7515,92.189,267.9259,0,19272,-0.00013021,-2.22e-05,0.0,6925.372,95.593,548.205,546.269,PAYLOAD,2019-11-11,
2023-05-08T06:56:12,STARLINK-1049,2019-074AT,EARTH,TEME,UTC,SGP4,2023-05-08T06:00:00.999648,15.792155,0.0001072,53.0507,147.2493,69.6941,254.677,0,19287,0.00047747,0.00087583,0.0,6710.799,91.185,333.384,331.945,PAYLOAD,2019-11-11,
